ticker,report_date,timing
AAPL,2023-08-03,amc
AAPL,2023-11-02,amc
AAPL,2024-02-01,amc
AAPL,2024-05-02,amc
AAPL,2024-08-01,amc
AAPL,2024-10-31,amc
AAPL,2025-01-30,amc
AAPL,2025-05-01,amc
AAPL,2025-07-31,amc
AAPL,2025-10-30,amc
AAPL,2026-01-29,amc
MSFT,2023-07-25,amc
MSFT,2023-10-24,amc
MSFT,2024-01-30,amc
MSFT,2024-04-25,amc
MSFT,2024-07-30,amc
MSFT,2024-10-30,amc
MSFT,2025-01-29,amc
MSFT,2025-04-30,amc
MSFT,2025-07-30,amc
MSFT,2025-10-29,amc
MSFT,2026-01-28,amc
NVDA,2023-08-23,amc
NVDA,2023-11-21,amc
NVDA,2024-02-21,amc
NVDA,2024-05-22,amc
NVDA,2024-08-28,amc
NVDA,2024-11-20,amc
NVDA,2025-02-26,amc
NVDA,2025-05-28,amc
NVDA,2025-08-27,amc
NVDA,2025-11-19,amc
AMZN,2023-08-03,amc
AMZN,2023-10-26,amc
AMZN,2024-02-01,amc
AMZN,2024-04-30,amc
AMZN,2024-08-01,amc
AMZN,2024-10-31,amc
AMZN,2025-02-06,amc
AMZN,2025-05-01,amc
AMZN,2025-07-31,amc
AMZN,2025-10-30,amc
GOOGL,2023-07-25,amc
GOOGL,2023-10-24,amc
GOOGL,2024-01-30,amc
GOOGL,2024-04-25,amc
GOOGL,2024-07-23,amc
GOOGL,2024-10-29,amc
GOOGL,2025-02-04,amc
GOOGL,2025-04-24,amc
GOOGL,2025-07-23,amc
GOOGL,2025-10-28,amc
META,2023-07-26,amc
META,2023-10-25,amc
META,2024-02-01,amc
META,2024-04-24,amc
META,2024-07-31,amc
META,2024-10-30,amc
META,2025-01-29,amc
META,2025-04-30,amc
META,2025-07-30,amc
META,2025-10-29,amc
TSLA,2023-07-19,amc
TSLA,2023-10-18,amc
TSLA,2024-01-24,amc
TSLA,2024-04-23,amc
TSLA,2024-07-23,amc
TSLA,2024-10-23,amc
TSLA,2025-01-29,amc
TSLA,2025-04-22,amc
TSLA,2025-07-23,amc
TSLA,2025-10-22,amc
AVGO,2023-08-31,amc
AVGO,2023-12-07,amc
AVGO,2024-03-07,amc
AVGO,2024-06-12,amc
AVGO,2024-09-05,amc
AVGO,2024-12-12,amc
AVGO,2025-03-06,amc
AVGO,2025-06-05,amc
AVGO,2025-09-04,amc
AVGO,2025-12-11,amc
NFLX,2023-07-19,amc
NFLX,2023-10-18,amc
NFLX,2024-01-23,amc
NFLX,2024-04-18,amc
NFLX,2024-07-18,amc
NFLX,2024-10-17,amc
NFLX,2025-01-21,amc
NFLX,2025-04-17,amc
NFLX,2025-07-17,amc
NFLX,2025-10-21,amc
AMD,2023-08-01,amc
AMD,2023-10-31,amc
AMD,2024-01-30,amc
AMD,2024-04-30,amc
AMD,2024-07-30,amc
AMD,2024-10-29,amc
AMD,2025-02-04,amc
AMD,2025-05-06,amc
AMD,2025-08-05,amc
AMD,2025-11-04,amc
QCOM,2023-08-02,amc
QCOM,2023-11-01,amc
QCOM,2024-01-31,amc
QCOM,2024-05-01,amc
QCOM,2024-07-31,amc
QCOM,2024-11-06,amc
QCOM,2025-02-05,amc
QCOM,2025-04-30,amc
QCOM,2025-07-30,amc
QCOM,2025-11-05,amc
ADBE,2023-09-14,amc
ADBE,2023-12-13,amc
ADBE,2024-03-14,amc
ADBE,2024-06-13,amc
ADBE,2024-09-12,amc
ADBE,2024-12-11,amc
ADBE,2025-03-12,amc
ADBE,2025-06-12,amc
ADBE,2025-09-11,amc
ADBE,2025-12-10,amc
AMAT,2023-08-17,amc
AMAT,2023-11-16,amc
AMAT,2024-02-15,amc
AMAT,2024-05-16,amc
AMAT,2024-08-15,amc
AMAT,2024-11-14,amc
AMAT,2025-02-13,amc
AMAT,2025-05-15,amc
AMAT,2025-08-14,amc
AMAT,2025-11-13,amc
INTC,2023-07-27,amc
INTC,2023-10-26,amc
INTC,2024-01-25,amc
INTC,2024-04-25,amc
INTC,2024-08-01,amc
INTC,2024-10-31,amc
INTC,2025-01-30,amc
INTC,2025-04-24,amc
INTC,2025-07-24,amc
INTC,2025-10-23,amc
MU,2023-09-27,amc
MU,2023-12-20,amc
MU,2024-03-20,amc
MU,2024-06-26,amc
MU,2024-09-25,amc
MU,2024-12-18,amc
MU,2025-03-20,amc
MU,2025-06-25,amc
MU,2025-09-23,amc
MU,2025-12-17,amc
CSCO,2023-08-16,amc
CSCO,2023-11-15,amc
CSCO,2024-02-14,amc
CSCO,2024-05-15,amc
CSCO,2024-08-14,amc
CSCO,2024-11-13,amc
CSCO,2025-02-12,amc
CSCO,2025-05-14,amc
CSCO,2025-08-13,amc
CSCO,2025-11-12,amc
COST,2023-09-26,amc
COST,2023-12-14,amc
COST,2024-03-07,amc
COST,2024-05-30,amc
COST,2024-09-26,amc
COST,2024-12-12,amc
COST,2025-03-06,amc
COST,2025-05-29,amc
COST,2025-09-25,amc
COST,2025-12-11,amc
TXN,2023-07-25,amc
TXN,2023-10-24,amc
TXN,2024-01-23,amc
TXN,2024-04-23,amc
TXN,2024-07-23,amc
TXN,2024-10-22,amc
TXN,2025-01-23,amc
TXN,2025-04-23,amc
TXN,2025-07-22,amc
TXN,2025-10-21,amc
PANW,2023-08-18,amc
PANW,2023-11-15,amc
PANW,2024-02-20,amc
PANW,2024-05-20,amc
PANW,2024-08-19,amc
PANW,2024-11-20,amc
PANW,2025-02-13,amc
PANW,2025-05-20,amc
PANW,2025-08-18,amc
PANW,2025-11-19,amc
GILD,2023-08-08,amc
GILD,2023-11-07,amc
GILD,2024-02-06,amc
GILD,2024-04-25,amc
GILD,2024-08-08,amc
GILD,2024-11-07,amc
GILD,2025-02-11,amc
GILD,2025-04-24,amc
GILD,2025-08-07,amc
GILD,2025-11-06,amc
